Абакумов;Роман;Олексійович;Аграрна партія України;№35
Абдуллаєв;Іджран;Ягуб;Самовисування;№172
Абдуллін;Олександр;Рафкатович;"політична партія Всеукраїнське об’єднання ""Батьківщина""";№11
Абдулова;Ася;Шамілівна;"ПОЛІТИЧНА ПАРТІЯ ""НЕЗАЛЕЖНІСТЬ""";№42
Абрамас;Віктор;Альфонсасович;"політична партія ""Громадянська позиція""";№64
Абрамов;Олег;Геннадійович;"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""";№63
Абрамович;Ігор;Олександрович;"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""";№14
Абрамчук;Дмитро;Валентинович;Аграрна партія України;№37
Абу;Шамсія;Рамі;"Політична Партія ""ПАТРІОТ""";№17
Абушова;Бела;Сахават;"Політична партія ""Рух Нових Сил Михайла Саакашвілі""";№87
Авдошко;Наталія;Борисівна;"ПОЛІТИЧНА ПАРТІЯ ""СОЦІАЛЬНА СПРАВЕДЛИВІСТЬ""";№65
Авер’янов;Олег;В’ячеславович;"ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА""";№6
Авраменко;Олексій;Сергійович;Самовисування;№90
Авраменко;Сергій;Васильович;"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""";№211
Авраменко;Сергій;Володимирович;"ПОЛІТИЧНА ПАРТІЯ ""НЕЗАЛЕЖНІСТЬ""";№43
Авраменко;Сергій;Дмитрович;"політична партія Всеукраїнське об’єднання ""Батьківщина""";№160
Аврамчук;Дмитро;Васильович;Самовисування;№160
Агапов;Дмитро;Олександрович;Самовисування;№26
Агапов;Ігор;Володимирович;Аграрна партія України;№170
Адаменко;Ірина;Олександрівна;Самовисування;№106
Адамович;Сергій;Васильович;"Політична Партія ""ГОЛОС""";№49
Адамчук;Сергій;Миколайович;Самовисування;№22
Адам’як;Сергій;Іванович;"Політична партія ""Європейська Солідарність""";№67
Адзеленко;Олександр;Васильович;Самовисування;№134
Азаров;Олександр;Ігорович;Самовисування;№95
Азізов;Рустам;Расулджанович;"ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА""";№83
Акімов;Олексій;Іванович;Самовисування;№36
Акімова;Анастасія;Андріївна;Самовисування;№174
Акіншин;Олександр;Олександрович;"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ""";№30
Акпєров;Вадим;Вагіфович;"Політична партія ""Європейська Солідарність""";№158
Аксакова;Юлія;Сергіївна;Самовисування;№52
Аксьоненко;Дмитро;Павлович;"політична партія Всеукраїнське об’єднання ""Свобода""";№170
Аксьонов;Андрій;Анатолійович;Самовисування;№50
Акуленко;Юрій;Володимирович;"Політична партія ""Об’єднання ""САМОПОМІЧ""";№19
Александров;Олександр;Олексійович;"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""";№183
Александрова;Лариса;Андріївна;"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""";№92
Александрович;Валентин;Зігфрідович;"політична партія ""Громадянська позиція""";№86
Александрук;Ірина;Миколаївна;"ПОЛІТИЧНА ПАРТІЯ ""СОЦІАЛЬНА СПРАВЕДЛИВІСТЬ""";№51
Алексанян;Карен;Артаваздович;Самовисування;№175
Алексєєв;Ігор;Сергійович;"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""";№18
Алексієнко;Тетяна;Валентинівна;Самовисування;№146
Алексійчук;Роман;Васильович;Самовисування;№152
Алентьєв;Олександр;Сергійович;Самовисування;№75
Алешко;Руслан;Олександрович;"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""";№85
Алєксєєв;Михайло;Васильович;"Політична партія ""ПРАВИЙ СЕКТОР""";№121
Алєксєєв;Сергій;Олегович;"Політична партія ""Європейська Солідарність""";№20
Алєксєєнко;Іван;Олександрович;Самовисування;№127
Алєксєйчук;Вікторія;Іванівна;"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""";№174
Аліксійчук;Олександр;Васильович;"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""";№154
Аліфанов;Микола;Іванович;"політична партія Всеукраїнське об’єднання ""Свобода""";№66
Аллахвердієва;Ірина;Валеріївна;"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""";№116
Алфьоров;Олександр;Анатолійович;"політична партія Всеукраїнське об’єднання ""Свобода""";№15
Альоша;Андрій;Миколайович;"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""";№51
Альошин;Андрій;Юрійович;"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""";№55
Амелін;Віктор;Володимирович;"ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА""";№192
Амельченко;Василь;Васильович;"ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА""";№16
Амирханян;Артур;Мукучевич;Самовисування;№159
Амосов;Ярослав;Олександрович;"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""";№94
